EmployeeID,EmployeeName,StoreID,Department,HireDate,ManagerID
1,Employee 0001,42,Customer Service,2020-10-22,
2,Employee 0002,6,Customer Service,2019-11-09,
3,Employee 0003,4,Management,2021-06-05,
4,Employee 0004,47,Operations,2022-10-25,
5,Employee 0005,42,Sales,2019-01-25,
6,Employee 0006,1,Operations,2023-05-08,
7,Employee 0007,5,Operations,2024-08-28,
8,Employee 0008,15,Management,2018-02-08,
9,Employee 0009,1,Customer Service,2019-05-09,
10,Employee 0010,28,Operations,2023-05-11,
11,Employee 0011,5,Operations,2022-04-19,
12,Employee 0012,6,Sales,2019-02-27,
13,Employee 0013,21,Customer Service,2021-05-10,
14,Employee 0014,9,Management,2019-06-30,
15,Employee 0015,42,Operations,2018-10-08,
16,Employee 0016,34,Sales,2024-11-04,
17,Employee 0017,42,Operations,2022-12-08,
18,Employee 0018,23,Operations,2019-09-13,
19,Employee 0019,27,Management,2020-06-08,
20,Employee 0020,6,Sales,2019-07-28,
21,Employee 0021,49,Sales,2024-08-11,
22,Employee 0022,47,Management,2021-12-10,
23,Employee 0023,28,Customer Service,2019-07-27,
24,Employee 0024,16,Customer Service,2018-12-12,
25,Employee 0025,16,Customer Service,2018-04-20,
26,Employee 0026,43,Customer Service,2020-04-21,
27,Employee 0027,34,Operations,2022-05-24,
28,Employee 0028,19,Sales,2020-09-07,
29,Employee 0029,32,Management,2019-04-07,
30,Employee 0030,16,Management,2024-08-29,
31,Employee 0031,5,Sales,2022-01-19,
32,Employee 0032,21,Operations,2022-05-04,
33,Employee 0033,37,Management,2022-02-05,
34,Employee 0034,35,Operations,2023-04-14,
35,Employee 0035,50,Sales,2018-03-10,
36,Employee 0036,38,Sales,2018-02-26,
37,Employee 0037,17,Operations,2018-06-13,
38,Employee 0038,4,Management,2023-09-07,
39,Employee 0039,19,Management,2022-10-01,
40,Employee 0040,45,Management,2018-12-04,
41,Employee 0041,41,Operations,2021-02-10,
42,Employee 0042,6,Customer Service,2018-11-20,
43,Employee 0043,33,Operations,2019-09-29,
44,Employee 0044,35,Customer Service,2022-05-20,
45,Employee 0045,38,Sales,2021-06-24,
46,Employee 0046,45,Management,2020-09-04,
47,Employee 0047,4,Operations,2018-12-20,
48,Employee 0048,28,Sales,2023-02-01,
49,Employee 0049,40,Sales,2021-06-20,
50,Employee 0050,43,Operations,2019-05-05,
51,Employee 0051,1,Operations,2018-02-16,
52,Employee 0052,11,Management,2021-11-21,
53,Employee 0053,34,Customer Service,2019-11-15,
54,Employee 0054,24,Operations,2021-01-05,
55,Employee 0055,47,Sales,2018-05-01,
56,Employee 0056,22,Management,2021-01-19,
57,Employee 0057,34,Sales,2020-12-13,
58,Employee 0058,46,Sales,2023-07-26,
59,Employee 0059,30,Customer Service,2018-08-16,
60,Employee 0060,32,Operations,2022-02-15,
61,Employee 0061,11,Customer Service,2019-02-26,
62,Employee 0062,37,Sales,2020-07-24,
63,Employee 0063,48,Sales,2018-06-30,
64,Employee 0064,1,Operations,2018-07-08,
65,Employee 0065,31,Customer Service,2022-04-18,
66,Employee 0066,10,Operations,2018-05-25,
67,Employee 0067,36,Management,2020-07-08,
68,Employee 0068,21,Operations,2022-09-01,
69,Employee 0069,47,Customer Service,2021-01-16,
70,Employee 0070,5,Customer Service,2019-05-05,
71,Employee 0071,33,Sales,2020-01-05,
72,Employee 0072,15,Sales,2022-07-01,
73,Employee 0073,5,Management,2021-03-02,
74,Employee 0074,50,Customer Service,2021-09-02,
75,Employee 0075,6,Management,2018-02-02,
76,Employee 0076,24,Operations,2021-04-09,
77,Employee 0077,37,Customer Service,2020-09-20,
78,Employee 0078,30,Customer Service,2024-08-20,
79,Employee 0079,32,Operations,2024-02-17,
80,Employee 0080,49,Operations,2019-09-09,
81,Employee 0081,1,Management,2018-04-08,
82,Employee 0082,15,Customer Service,2018-02-09,
83,Employee 0083,22,Sales,2022-03-22,
84,Employee 0084,48,Customer Service,2019-03-02,
85,Employee 0085,14,Operations,2022-09-16,
86,Employee 0086,32,Sales,2019-08-07,
87,Employee 0087,46,Customer Service,2019-01-17,
88,Employee 0088,3,Operations,2023-10-30,
89,Employee 0089,27,Customer Service,2023-02-21,
90,Employee 0090,48,Sales,2024-07-06,
91,Employee 0091,7,Operations,2022-06-04,
92,Employee 0092,5,Sales,2022-11-17,
93,Employee 0093,43,Operations,2020-08-27,
94,Employee 0094,19,Customer Service,2021-07-14,
95,Employee 0095,26,Customer Service,2021-07-26,
96,Employee 0096,29,Customer Service,2020-08-14,
97,Employee 0097,5,Operations,2019-07-12,
98,Employee 0098,50,Sales,2019-09-29,
99,Employee 0099,7,Operations,2023-01-16,
100,Employee 0100,30,Customer Service,2022-07-24,
101,Employee 0101,8,Customer Service,2020-04-30,
102,Employee 0102,29,Customer Service,2023-03-13,
103,Employee 0103,17,Sales,2019-01-06,
104,Employee 0104,11,Customer Service,2024-10-07,
105,Employee 0105,3,Operations,2021-09-04,
106,Employee 0106,10,Sales,2020-10-13,
107,Employee 0107,23,Management,2023-10-05,
108,Employee 0108,4,Customer Service,2020-12-01,
109,Employee 0109,12,Sales,2022-07-15,
110,Employee 0110,29,Operations,2019-01-23,
111,Employee 0111,30,Sales,2019-07-27,
112,Employee 0112,8,Sales,2018-09-10,
113,Employee 0113,50,Operations,2019-06-20,
114,Employee 0114,13,Management,2022-03-05,
115,Employee 0115,44,Sales,2024-07-13,
116,Employee 0116,38,Customer Service,2018-11-04,
117,Employee 0117,2,Sales,2020-03-20,
118,Employee 0118,42,Management,2019-06-12,
119,Employee 0119,6,Customer Service,2019-05-17,
120,Employee 0120,3,Management,2018-07-27,
121,Employee 0121,11,Management,2022-06-06,
122,Employee 0122,32,Sales,2022-04-17,
123,Employee 0123,44,Management,2019-12-09,
124,Employee 0124,23,Operations,2020-02-06,
125,Employee 0125,18,Customer Service,2023-01-01,
126,Employee 0126,10,Sales,2020-10-03,
127,Employee 0127,42,Customer Service,2023-08-06,
128,Employee 0128,27,Management,2018-09-07,
129,Employee 0129,6,Customer Service,2022-04-18,
130,Employee 0130,9,Management,2020-03-27,
131,Employee 0131,42,Operations,2024-02-05,
132,Employee 0132,2,Management,2022-01-10,
133,Employee 0133,31,Management,2021-11-10,
134,Employee 0134,37,Customer Service,2022-05-10,
135,Employee 0135,18,Operations,2018-04-17,
136,Employee 0136,21,Operations,2018-05-01,
137,Employee 0137,50,Customer Service,2018-08-28,
138,Employee 0138,31,Customer Service,2024-07-20,
139,Employee 0139,15,Operations,2019-02-15,
140,Employee 0140,16,Operations,2020-12-27,
141,Employee 0141,35,Sales,2020-06-17,
142,Employee 0142,37,Management,2021-12-24,
143,Employee 0143,12,Operations,2020-08-26,
144,Employee 0144,38,Customer Service,2022-01-09,
145,Employee 0145,38,Sales,2021-12-11,
146,Employee 0146,37,Operations,2024-04-25,
